nama,id,kode,tingkat
Renah Pamenang,117351,150219,3
Renah Pembarap,117314,150216,3
Sungai Manau,117196,150204,3
Tabir,117207,150205,3
Tabir Barat,117374,150223,3
Tabir Ilir,117301,150214,3
Tabir Lintas,117368,150222,3
Tabir Selatan,117241,150208,3
Tabir Timur,117309,150215,3
Tabir Ulu,117234,150207,3
Tiang Pumpung,117389,150224,3
Bajubang,117676,150407,3
Batin XXIV,117620,150404,3
Maro Sebo Ilir,117687,150408,3
Maro Sebo Ulu,117658,150406,3
Mersam,117565,150401,3
Muara Bulian,107737,150403,3
Muara Tembesi,117584,150402,3
Pemayung,117638,150405,3
Bathin II Pelayang,118255,150815,3
Bathin III,118225,150811,3
Bathin III Ulu,118245,150814,3
Batin II Babeko,118218,150810,3
Bungo Dani,118234,150812,3
Jujuhan,118137,150804,3
Jujuhan Ilir,118261,150816,3
Limbur Lubuk Mengkuang,118175,150807,3
Muko-muko Bathin VII,118190,150808,3
Pasar Muaro Bungo,118131,150803,3
Pelepat,118159,150806,3
Pelepat Ilir,118200,150809,3
Rantau Pandan,118124,150802,3
Rimbo Tengah,118240,150813,3
Tanah Sepenggal,118148,150805,3
Tanah Sepenggal Lintas,118269,150817,3
Tanah Tumbuh,118112,150801,3
Alam Barajo,118481,157109,3
Danau Sipin,118489,157110,3
Danau Teluk,118459,157106,3
Jambi Selatan,108909,157102,3
Jambi Timur,118437,157103,3
Jelutung,118473,157108,3
Kota Baru,118465,157107,3
Paal Merah,118495,157111,3
Pasar Jambi,118447,157104,3
Pelayangan,118452,157105,3
Telanaipura,118424,157101,3
Air Hitam,117503,150307,3
Batang Asai,117396,150301,3
Bathin VIII,117513,150308,3
Cermin Nan Gedang,117543,150310,3
Limun,117420,150302,3
Mandiangin,117484,150306,3
Mandiangin Timur,117554,150311,3
Pauh,117454,150304,3
Pelawan,117469,150305,3
Sarolangun,117437,150303,3
Singkut,117529,150309,3
Batang Asam,108184,150607,3
Betara,117898,150604,3
Bram Itam,117975,150611,3
Kuala Betara,117986,150612,3
Merlung,117911,150605,3
Muara Papalik,117955,150609,3
Pengabuan,117884,150603,3
Renah Mendaluh,117944,150608,3
Seberang Kota,117966,150610,3
Senyerang,117997,150613,3
Tebing Tinggi,117922,150606,3
Tungkal Ilir,117873,150602,3
Tungkal Ulu,117862,150601,3
Hamparan Rawang,118518,157203,3
Koto Baru,118565,157207,3
Kumun Debai,118546,157205,3
Pesisir Bukit,118508,157202,3
Pondok Tinggi,118556,157206,3
Sungai Bungkal,118572,157208,3
Sungai Penuh,118502,157201,3
Tanah Kampung,118532,157204,3
Berbak,118105,150711,3
Dendang,118064,150706,3
Geragai,118095,150710,3
Kuala Jambi,118080,150708,3
Mendahara,118032,150703,3
Mendahara Ulu,118087,150709,3
Muara Sabak Barat,118072,150707,3
